urn:cts:latinLit:phi0893.phi0011.3.19	qui vidit mare turbidum et
urn:cts:latinLit:phi0893.phi0011.3.20	infamis scopulos Acroceraunia?
urn:cts:latinLit:phi0893.phi0011.3.21	nequiquam deus abscidit
urn:cts:latinLit:phi0893.phi0011.3.22	prudens oceano dissociabili
urn:cts:latinLit:phi0893.phi0011.3.23	terras, si tamen inpiae
urn:cts:latinLit:phi0893.phi0011.3.24	non tangenda rates transiliunt vada.
urn:cts:latinLit:phi0893.phi0011.3.25	audax omnia perpeti
urn:cts:latinLit:phi0893.phi0011.3.26	gens humana ruit per vetitum nefas:
urn:cts:latinLit:phi0893.phi0011.3.27	audax Iapeti genus
urn:cts:latinLit:phi0893.phi0011.3.28	ignem fraude mala gentibus intulit;
urn:cts:latinLit:phi0893.phi0011.3.29	post ignem aetheria domo
urn:cts:latinLit:phi0893.phi0011.3.30	subductum macies et nova febrium
urn:cts:latinLit:phi0893.phi0011.3.31	terris incubuit cohors
urn:cts:latinLit:phi0893.phi0011.3.32	semotique prius tarda necessitas
urn:cts:latinLit:phi0893.phi0011.3.33	Leti corripuit gradum;
urn:cts:latinLit:phi0893.phi0011.3.34	expertus vacuum Daedalus aera
urn:cts:latinLit:phi0893.phi0011.3.35	pennis non homini datis;
urn:cts:latinLit:phi0893.phi0011.3.36	perrupit Acheronta Herculeus labor.
urn:cts:latinLit:phi0893.phi0011.3.37	nil mortalibus ardui est:
urn:cts:latinLit:phi0893.phi0011.3.38	caelum ipsum petimus stultitia neque
urn:cts:latinLit:phi0893.phi0011.3.39	per nostrum patimur scelus
urn:cts:latinLit:phi0893.phi0011.3.40	iracunda Iovem ponere fulmina.

urn:cts:latinLit:phi0893.phi0011.4.1	Solvitur acris hiems grata vice veris et Favoni
urn:cts:latinLit:phi0893.phi0011.4.2	trahuntque siccas machinae carinas
urn:cts:latinLit:phi0893.phi0011.4.3	ac neque iam stabulis gaudet pecus aut arator igni
urn:cts:latinLit:phi0893.phi0011.4.4	nec prata canis albicant pruinis.
urn:cts:latinLit:phi0893.phi0011.4.5	iam Cytherea choros ducit Venus imminente luna
urn:cts:latinLit:phi0893.phi0011.4.6	iunctaeque Nymphis Gratiae decentes
urn:cts:latinLit:phi0893.phi0011.4.7	alterno terram quatiunt pede, dum gravis Cyclopum
urn:cts:latinLit:phi0893.phi0011.4.8	Volcanus ardens visit officinas.
urn:cts:latinLit:phi0893.phi0011.4.9	nunc decet aut viridi nitidum caput impedire myrto
urn:cts:latinLit:phi0893.phi0011.4.10	aut flore, terrae quem ferunt solutae,
urn:cts:latinLit:phi0893.phi0011.4.11	nunc et in umbrosis Fauno decet immolare lucis,
urn:cts:latinLit:phi0893.phi0011.4.12	seu poscat agna sive malit haedo.
urn:cts:latinLit:phi0893.phi0011.4.13	pallida Mors aequo pulsat pede pauperum tabernas
urn:cts:latinLit:phi0893.phi0011.4.14	regumque turris. o beate Sesti,
urn:cts:latinLit:phi0893.phi0011.4.15	vitae summa brevis spem nos vetat inchoare longam;
urn:cts:latinLit:phi0893.phi0011.4.16	iam te premet nox fabulaeque Manes
urn:cts:latinLit:phi0893.phi0011.4.17	et domus exilis Plutonia; quo simul mearis,
urn:cts:latinLit:phi0893.phi0011.4.18	nec regna vini sortiere talis
urn:cts:latinLit:phi0893.phi0011.4.19	nec tenerum Lycidan mirabere, quo calet iuventus
urn:cts:latinLit:phi0893.phi0011.4.20	nunc omnis et mox virgines tepebunt.

urn:cts:latinLit:phi0893.phi0011.5.1	Quis multa gracilis te puer in rosa
urn:cts:latinLit:phi0893.phi0011.5.2	perfusus liquidis urget odoribus
urn:cts:latinLit:phi0893.phi0011.5.3	grato, Pyrrha, sub antro?
urn:cts:latinLit:phi0893.phi0011.5.4	cui flavam religas comam
urn:cts:latinLit:phi0893.phi0011.5.5	simplex munditiis? heu quotiens fidem
urn:cts:latinLit:phi0893.phi0011.5.6	mutatosque deos flebit et aspera
urn:cts:latinLit:phi0893.phi0011.5.7	nigris aequora ventis
urn:cts:latinLit:phi0893.phi0011.5.8	emirabitur insolens
urn:cts:latinLit:phi0893.phi0011.5.9	qui nunc te fruitur credulus aurea,
urn:cts:latinLit:phi0893.phi0011.5.10	qui semper vacuam, semper amabilem
urn:cts:latinLit:phi0893.phi0011.5.11	sperat, nescius aurae
urn:cts:latinLit:phi0893.phi0011.5.12	fallacis. miseri, quibus
urn:cts:latinLit:phi0893.phi0011.5.13	intemptata nites. me tabula sacer
urn:cts:latinLit:phi0893.phi0011.5.14	votiva paries indicat uvida
urn:cts:latinLit:phi0893.phi0011.5.15	suspendisse potenti
urn:cts:latinLit:phi0893.phi0011.5.16	vestimenta maris deo.

urn:cts:latinLit:phi0893.phi0011.6.1	Scriberis Vario fortis et hostium
urn:cts:latinLit:phi0893.phi0011.6.2	victor Maeonii carminis alite,
urn:cts:latinLit:phi0893.phi0011.6.3	quam rem cumque ferox navibus aut equis
urn:cts:latinLit:phi0893.phi0011.6.4	miles te duce gesserit.
urn:cts:latinLit:phi0893.phi0011.6.5	nos, Agrippa, neque haec dicere nec gravem
urn:cts:latinLit:phi0893.phi0011.6.6	Pelidae stomachum cedere nescii
urn:cts:latinLit:phi0893.phi0011.6.7	nec cursus duplicis per mare Ulixei
