URN,Author,Work
,Plutarch,Comparison of Demetrius and Antony
,Plutarch,Comparison of Demosthenes with Cicero
,Plutarch,Comparison of Lucullus and Cimon
,Plutarch,Comparison of Lycurgus and Numa
,Plutarch,Comparison of Lysander and Sulla
,Plutarch,Comparison of Nicias and Crassus
,Plutarch,Comparison of Pelopidas and Marcellus
,Plutarch,Comparison of Pericles and Fabius Maximus
,Plutarch,Comparison of Philopoemen and Titus
,Plutarch,Comparison of Sertorius and Eumenes
,Plutarch,Comparison of Solon and Publicola
,Plutarch,Comparison of Theseus and Romulus
,Plutarch,Comparison of Timoleon and Aemilius
,Plutarch,Compendium Argumenti Stoicos absurdiora poetis dicere
,Plutarch,Compendium libri de animae procreatione in Timaeo
,Plutarch,Conjugalia Praecepta
,Plutarch,Consolatio ad Apollonium
,Plutarch,Consolatio ad uxorem
,Plutarch,Crassus
,Plutarch,De Alexandri magni fortuna aut virtute
,Plutarch,De E apud Delphos
,Plutarch,De Herodoti malignitate
,Plutarch,De Iside et Osiride
,Plutarch,De Pythiae oraculis
,Plutarch,De Recta Ratione Audiendi
,Plutarch,De Se Ipsum Citra Invidiam Laudando
,Plutarch,De Stoicorum repugnantiis
,Plutarch,De amicorum multitudine
,Plutarch,De amore prolis
,Plutarch,De animae procreatione in Timaeo
,Plutarch,De capienda ex inimicis utilitate
,Plutarch,De cohibenda ira
,Plutarch,De communibus notitiis adversus Stoicos
,Plutarch,De cupiditate divitiarum
,Plutarch,De curiositate
,Plutarch,De defectu oraculorum
,Plutarch,De esu carnium II
,Plutarch,De exilio
,Plutarch,De faciae quae in orbe lunae apparet
,Plutarch,De fato
,Plutarch,De fortuna
,Plutarch,De fortuna Romanorum
,Plutarch,De fraterno amore
,Plutarch,De garrulitate
,Plutarch,De genio Socratis
,Plutarch,De gloria Atheniensium
,Plutarch,De invidia et odio
,Plutarch,De liberis educandis
,Plutarch,De primo frigido
,Plutarch,De sera numinis vindicta
,Plutarch,De sollertia animalium
,Plutarch,De superstitione
,Plutarch,De tranquilitate animi
,Polybius,Histories
