Author	Work	e-Source	Print Source	Added by
Demosthenes	Against Eubulides	Perseus	Demosthenes. Demosthenis Orationes. ed. W. Rennie. Oxonii.e Typographeo Clarendoniano. 1931.	Katherine Roache
Demosthenes	Against Evergus and Mnesibulus	Perseus	Demosthenes. Demosthenis Orationes. ed. W. Rennie. Oxonii.e Typographeo Clarendoniano. 1931.	Katherine Roache
Demosthenes	Against Lacritus	Perseus	Demosthenes. Demosthenis Orationes. ed. W. Rennie. Oxonii. E Typographeo Clarendoniano. 1921.	Katherine Roache
Demosthenes	Against Leochares	Perseus	Demosthenes. Demosthenis Orationes. ed. W. Rennie. Oxonii.e Typographeo Clarendoniano. 1931.	Katherine Roache
Demosthenes	Against Leptines	Perseus	Demosthenes. Demosthenis Orationes. ed. S. H. Butcher. Oxonii.e Typographeo Clarendoniano. 1903.	Katherine Roache
Demosthenes	Against Macartatus	Perseus	Demosthenes. Demosthenis Orationes. ed. W. Rennie. Oxonii.e Typographeo Clarendoniano. 1931.	Katherine Roache
Demosthenes	Against Midias	Perseus	Demosthenes. Demosthenis Orationes. ed. S. H. Butcher and W. Rennie. Oxonii. E Typographeo Clarendoniano. 1907 and 1921.	Katherine Roache
Demosthenes	Against Nausimachus and Xenopeithes	Perseus	Demosthenes. Demosthenis Orationes. ed. W. Rennie. Oxonii. E Typographeo Clarendoniano. 1921.	Katherine Roache
Demosthenes	Against Neaera	Perseus	Demosthenes. Demosthenis Orationes. ed. W. Rennie. Oxonii.e Typographeo Clarendoniano. 1931.	Katherine Roache
Demosthenes	Against Nicostratus	Perseus	Demosthenes. Demosthenis Orationes. ed. W. Rennie. Oxonii.e Typographeo Clarendoniano. 1931.	Katherine Roache
Demosthenes	Against Olympiodorus	Perseus	Demosthenes. Demosthenis Orationes. ed. W. Rennie. Oxonii.e Typographeo Clarendoniano. 1931.	Katherine Roache
Demosthenes	Against Onetor (30)	Perseus	Demosthenes. Demosthenis Orationes. ed. S. H. Butcher and W. Rennie. Oxonii. E Typographeo Clarendoniano. 1907 and 1921.	Katherine Roache
Demosthenes	Against Onetor (31)	Perseus	Demosthenes. Demosthenis Orationes. ed. W. Rennie. Oxonii. E Typographeo Clarendoniano. 1921.	Katherine Roache
Demosthenes	Against Pantaenetus	Perseus	Demosthenes. Demosthenis Orationes. ed. W. Rennie. Oxonii. E Typographeo Clarendoniano. 1921.	Katherine Roache
Demosthenes	Against Phaenippus	Perseus	Demosthenes. Demosthenis Orationes. ed. W. Rennie. Oxonii.e Typographeo Clarendoniano. 1931.	Katherine Roache
Demosthenes	Against Phormio	Perseus	Demosthenes. Demosthenis Orationes. ed. W. Rennie. Oxonii. E Typographeo Clarendoniano. 1921.	Katherine Roache
Demosthenes	Against Polycles	Perseus	Demosthenes. Demosthenis Orationes. ed. W. Rennie. Oxonii.e Typographeo Clarendoniano. 1931.	Katherine Roache
Demosthenes	Against Spudias	Perseus	Demosthenes. Demosthenis.Orationes. ed. W. Rennie. Oxonii.e Typographeo Clarendoniano. 1931.	Katherine Roache
Demosthenes	Against Stephanus 1	Perseus	Demosthenes. Demosthenis Orationes. ed. W. Rennie. Oxonii.e Typographeo Clarendoniano. 1931.	Katherine Roache
Demosthenes	Against Stephanus 2	Perseus	Demosthenes. Demosthenis Orationes. ed. W. Rennie. Oxonii.e Typographeo Clarendoniano. 1931.	Katherine Roache
Demosthenes	Against Theocrines	Perseus	Demosthenes. Demosthenis Orationes. ed. W. Rennie. Oxonii.e Typographeo Clarendoniano. 1931.	Katherine Roache
Demosthenes	Against Timocrates	Perseus	Demosthenes. Demosthenis Orationes. ed. S. H. Butcher and W. Rennie. Oxonii. E Typographeo Clarendoniano. 1907 and 1921.	Katherine Roache
Demosthenes	Against Timotheus	Perseus	Demosthenes. Demosthenis Orationes. ed. W. Rennie. Oxonii.e Typographeo Clarendoniano. 1931.	Katherine Roache
Demosthenes	Against Zenothemis	Perseus	Demosthenes. Demosthenis Orationes. ed. W. Rennie. Oxonii. E Typographeo Clarendoniano. 1921.	Katherine Roache
Demosthenes	Erotic Essay	Perseus	Demosthenes. Demosthenis Orationes. ed. W. Rennie. Oxonii.e Typographeo Clarendoniano. 1931.	Katherine Roache
Demosthenes	Exordia	Perseus	Demosthenes. Orationes. ed. W. Rennie. Oxford: Clarendon Press. 1931.	Katherine Roache
Demosthenes	For Phormio	Perseus	Demosthenes. Demosthenis Orationes. ed. W. Rennie. Oxonii. E Typographeo Clarendoniano. 1921.	Katherine Roache
Demosthenes	For the Megalopitans	Perseus	Demosthenes. Demosthenis Orationes. ed. S. H. Butcher. Oxonii.e Typographeo Clarendoniano. 1903.	Katherine Roache
Demosthenes	Funeral Speech	Perseus	Demosthenes. Demosthenis Orationes. ed. W. Rennie. Oxonii.e Typographeo Clarendoniano. 1931.	Katherine Roache
Demosthenes	Letters	Perseus	Demosthenes. Orationes. ed. W. Rennie. Oxford: Clarendon Press. 1931.	Katherine Roache
Demosthenes	Olynthiac 1	Perseus	Demosthenes. Demosthenis Orationes. ed. S. H. Butcher. Clarendon Press, Oxford. 1903.	Katherine Roache
Demosthenes	Olynthiac 2	Perseus	Demosthenes. Demosthenis Orationes. ed. S. H. Butcher. Clarendon Press, Oxford. 1903.	Katherine Roache
Demosthenes	Olynthiac 3	Perseus	Demosthenes. Demosthenis Orationes. ed. S. H. Butcher. Clarendon Press, Oxford. 1903	Katherine Roache
Demosthenes	On Organization	Perseus	Demosthenes. Demosthenis Orationes. ed. S. H. Butcher. Oxonii.e Typographeo Clarendoniano. 1903.	Katherine Roache
Demosthenes	On the Accession of Alexander	Perseus	Demosthenes. Demosthenis Orationes. ed. S. H. Butcher. Oxonii.e Typographeo Clarendoniano. 1903.	Katherine Roache
Demosthenes	On the Chersonese	Perseus	Demosthenes. Demosthenis Orationes. ed. S. H. Butcher. Clarendon Press, Oxford. 1903.	Katherine Roache
Demosthenes	On the Crown	Perseus	Demosthenes. Demosthenis Orationes. ed. S. H. Butcher. Oxonii.e Typographeo Clarendoniano. 1903.	Katherine Roache
Demosthenes	On the False Embassy	Perseus	Demosthenes. Demosthenis Orationes. ed. S. H. Butcher. Oxonii.e Typographeo Clarendoniano. 1903.	Katherine Roache
Demosthenes	On the Halonnesus	Perseus	Demosthenes. Demosthenis Orationes. ed. S. H. Butcher. Clarendon Press, Oxford. 1903.	Katherine Roache
Demosthenes	On the Liberty of the Rhodians	Perseus	Demosthenes. Demosthenis Orationes. ed. S. H. Butcher. Oxonii.e Typographeo Clarendoniano. 1903.	Katherine Roache
Demosthenes	On the Navy	Perseus	Demosthenes. Demosthenis Orationes. ed. S. H. Butcher. Oxonii.e Typographeo Clarendoniano. 1903.	Katherine Roache
Demosthenes	On the Peace	Perseus	Demosthenes. Demosthenis Orationes. ed. S. H. Butcher. Clarendon Press, Oxford. 1903.	Katherine Roache
Demosthenes	On the Trierarchic Crown	Perseus	Demosthenes. Demosthenis Orationes. ed. W. Rennie. Oxonii.e Typographeo Clarendoniano. 1931.	Katherine Roache
Demosthenes	Philip	Perseus	Demosthenes. Demosthenis Orationes. ed. S. H. Butcher. Oxonii.e Typographeo Clarendoniano. 1903.	Katherine Roache
Demosthenes	Philippic 1	Perseus	Demosthenes. Demosthenis Orationes. ed. S. H. Butcher. Clarendon Press, Oxford. 1903.	Katherine Roache
Demosthenes	Philippic 2	Perseus	Demosthenes. Demosthenis Orationes. ed. S. H. Butcher. Clarendon Press, Oxford. 1903.	Katherine Roache
Demosthenes	Philippic 3	Perseus	Demosthenes. Demosthenis Orationes. ed. S. H. Butcher. Clarendon Press, Oxford. 1903.	Katherine Roache
Demosthenes	Philippic 4	Perseus	Demosthenes. Demosthenis Orationes. ed. S. H. Butcher. Clarendon Press, Oxford. 1903.	Katherine Roache
Demosthenes	Reply to Philip	Perseus	Demosthenes. Demosthenis Orationes. ed. S. H. Butcher. Oxonii.e Typographeo Clarendoniano. 1903.	Katherine Roache
Dinarchus	Against Aristogiton	Perseus	Dinarchus. Minor Attic Orators in two volumes, 2, with an English translation by J. O. Burtt, M.A. Cambridge, MA, Harvard University Press; London, William Heinemann Ltd. 1962.	Katherine Roache
Dinarchus	Against Demosthenes	Perseus	Dinarchus. Minor Attic Orators in two volumes, 2, with an English translation by J. O. Burtt, M.A. Cambridge, MA, Harvard University Press; London, William Heinemann Ltd. 1962.	Katherine Roache
Dinarchus	Against Philocles	Perseus	Dinarchus. Minor Attic Orators in two volumes, 2, with an English translation by J. O. Burtt, M.A. Cambridge, MA, Harvard University Press; London, William Heinemann Ltd. 1962.	Katherine Roache
Dionysius of Halicarnassus	Ad Ammaeum	Perseus	Hermann Usener, Dionysii Halicarnasei Quae Exstant, Volumen Quintum. Leipzig: In Aedibus B.G. Teubneri, 1899.	Caitlin Diddams
Dionysius of Halicarnassus	Antiquitates Romanae, Books I-XX	Perseus	Karl Jacoby, Dionysii Halicarnasei Antiquitatum Romanarum quae supersunt, Vol I-IV. Leipzig: In Aedibus B.G. Teubneri, 1885.	Caitlin Diddams
Dionysius of Halicarnassus	De Antiquis Oratoribus	Perseus	Hermann Usener, Dionysii Halicarnasei Quae Exstant, Volumen Quintum. Leipzig: In Aedibus B.G. Teubneri, 1899.	Caitlin Diddams
Dionysius of Halicarnassus	De Compositione Verborum	Perseus	Ludwig Radermacher, Dionysii Halicarnasei Quae Exstant, Volumen Sextum. Leipzig: In Aedibus B.G. Teubneri, 1904.	Caitlin Diddams
Dionysius of Halicarnassus	De Demosthene	Perseus	Hermann Usener, Dionysii Halicarnasei Quae Exstant, Volumen Quintum. Leipzig: In Aedibus B.G. Teubneri, 1899.	Caitlin Diddams
Dionysius of Halicarnassus	De Dinarcho	Perseus	Hermann Usener, Dionysii Halicarnasei Quae Exstant, Volumen Quintum. Leipzig: In Aedibus B.G. Teubneri, 1899.	Caitlin Diddams
Dionysius of Halicarnassus	De Isaeo	Perseus	Hermann Usener, Dionysii Halicarnasei Quae Exstant, Volumen Quintum. Leipzig: In Aedibus B.G. Teubneri, 1899.	Caitlin Diddams
Dionysius of Halicarnassus	De Isocrate	Perseus	Hermann Usener, Dionysii Halicarnasei Quae Exstant, Volumen Quintum. Leipzig: In Aedibus B.G. Teubneri, 1899.	Caitlin Diddams
Dionysius of Halicarnassus	De Lysia	Perseus	Hermann Usener, Dionysii Halicarnasei Quae Exstant, Volumen Quintum. Leipzig: In Aedibus B.G. Teubneri, 1899.	Caitlin Diddams
Dionysius of Halicarnassus	De Thucydide	Perseus	Hermann Usener, Dionysii Halicarnasei Quae Exstant, Volumen Quintum. Leipzig: In Aedibus B.G. Teubneri, 1899.	Caitlin Diddams
Dionysius of Halicarnassus	De Thucydidis idiomatibus (epistula ad Ammaeum)	Perseus	Hermann Usener, Dionysii Halicarnasei Quae Exstant, Volumen Quintum. Leipzig: In Aedibus B.G. Teubneri, 1899.	Caitlin Diddams
Dionysius of Halicarnassus	Epistula ad Pompeium Geminum	Perseus	Ludwig Radermacher, Dionysii Halicarnasei Quae Exstant, Volumen Sextum. Leipzig: In Aedibus B.G. Teubneri, 1904.	Caitlin Diddams
Dionysius of Halicarnassus	Libri secundi de antiquis oratoribus reliquiae	Perseus	Hermann Usener, Dionysii Halicarnasei Quae Exstant, Volumen Quintum. Leipzig: In Aedibus B.G. Teubneri, 1899.	Caitlin Diddams
Euclid	Elements	Perseus	J. L. Heiberg, Euclidis Elementa. Leipzig: Teubner, 1883-1888.	Caitlin Diddams
Euripides	Alcestis	Perseus	David Kovacs, Euripides, with an English translation by David Kovacs. Cambridge: Harvard University Press, forthcoming.	Tony R. Waleszczak & Jessica Micceri
Euripides	Andromache	Perseus	David Kovacs, Euripides, with an English translation by David Kovacs. Cambridge: Harvard University Press, forthcoming.	Tony R. Waleszczak & Jessica Micceri
Euripides	Bacchae	Perseus	Gilbert Murray, Euripidis Fabulae, vol. 3. Oxford: Clarendon Press, Oxford, 1913.	Tony R. Waleszczak & Jessica Micceri
Euripides	Cyclops	Perseus	David Kovacs, Euripides, with an English translation by David Kovacs. Cambridge: Harvard University Press, forthcoming.	Tony R. Waleszczak & Jessica Micceri
Euripides	Electra	Perseus	Gilbert Murray, Euripidis Fabulae, vol 2.. Oxford: Clarendon Press, Oxford, 1913.	Tony R. Waleszczak & Jessica Micceri
